,bankCode,bankName,accountTypeName,accountDscription,subscriptionPeriod,minSubscriptionBalance,maxSubscriptionBalance,interesRate,type,accountTypeCode
0,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,10만원 이상,제한없음,1.0,deposit,1
1,007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,12개월,십만원 이상,2억원 이하,3.95,deposit,2
2,007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,6개월 이상,십만원 이상,2억원 이하,3.8,deposit,3
3,A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,10만원 이상,제한없음,3.6,deposit,4
4,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,5백만원,제한없음,2.35,deposit,5
5,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",24개월 이상,100원,제한없음,2.8,deposit,6
6,032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,1천만원,제한없음,2.65,deposit,7
7,034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,3개월,1백만원 이상,1억원 이하,3.1,deposit,8
8,D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월,"100,000원 이상",제한없음,4.2,deposit,9
9,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,100원,제한없음,2.65,deposit,10
10,E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,10만원 이상,제한없음,2.1,deposit,11
11,E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,10만원 이상,제한없음,3.7,deposit,12
12,004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,6개월 이상,10만원,제한없음,2.3,deposit,13
13,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,100원,제한없음,2.75,deposit,14
14,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,5백만원,제한없음,2.75,deposit,15
15,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,1개월 이상,5백만원,제한없음,2.15,deposit,16
16,032,부산은행,LIVE정기예금,특판 전용 정기예금,3개월 이상,1천만원,제한없음,2.35,deposit,17
17,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",24개월 이상,10만원,제한없음,3.7,deposit,18
18,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,6개월 이상,10만원,제한없음,2.5,deposit,19
19,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",1개월 이상,10만원,제한없음,1.2,deposit,20
20,A06,OSB저축은행,단리 정기예금,"금리 하락 시에도 변동없는 확정금리 상품으로 고객님의 
여유자금을 안전하게 운용할 수 있는 목돈 굴리기 상품",3개월 이상,10만원,제한없음,1.9,deposit,21
21,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,12개월 이상,10만원,제한없음,3.8,deposit,22
22,A10,민국저축은행,e-행복정기예금복리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,10만원,제한없음,1.8,deposit,23
23,F05,오투저축은행,e-복리정기예금,일정기간 동안 목돈을 예치하고 만기에 이자를 지급 받는 거치식 상품,6개월이상,10만원이상,제한없음,3.5,deposit,24
24,A10,민국저축은행,e-행복정기예금단리식,인터넷뱅킹을 이용하여 가입가능한 목돈굴리기 상품입니다.,3개월 이상,10만원,제한없음,1.8,deposit,25
25,B03,남양저축은행,비대면-정기예금복리식,"일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 
만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합",6개월 이상,10만원,제한없음,3.0,deposit,26
26,B05,부림저축은행,정기예금(복리식),목돈을 일정기간동안 예치하고 원금과 이자를 함께 받는 목돈 굴리기 상품 (창구 전용),3개월 이상,10만원,제한없음,2.2,deposit,27
27,B05,부림저축은행,톡톡정기예금(단리식),"목돈을 일정기간동안 예치하고 매월 이자를 받는 목돈 굴리기 상품
 영업점을 방문하지않고 가입이 가능한 상품입니다.(비대면전용상품)",1개월 이상,10만원,제한없음,2.0,deposit,28
28,D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,3개월 이상,10만원 이상,제한없음,1.0,deposit,29
29,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,100원,제한없음,2.75,deposit,30
30,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,100원,제한없음,2.85,deposit,31
31,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,100원,제한없음,2.15,deposit,32
32,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,5백만원,제한없음,2.65,deposit,33
33,032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,5백만원,제한없음,2.45,deposit,34
34,A17,웰컴저축은행,m - 정기예금 (단리),여유자금을 일정기간 동안 확정금리로 예치하여 이자 수익을 얻을 수 있는 거치식 상품,36개월,10만원이상,제한없음,3.5,deposit,35
35,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",1개월 이상,100원,제한없음,2.25,deposit,36
36,F05,오투저축은행,e-정기예금,일정기간 동안 목돈을 예치하고 매월 이자를 지급 받는 거치식 상품,3개월이상,10만원이상,제한없음,3.0,deposit,37
37,032,부산은행,LIVE정기예금,특판 전용 정기예금,36개월 이상,1천만원,제한없음,2.75,deposit,38
38,032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",3개월 이상,100원,제한없음,2.45,deposit,39
